"C3N.01799"	"C3L.01890"	"C3N.00572"	"C3N.02423"	"C3N.02729"	"C3L.00263"	"C3N.01410"	"C3N.00578"	"C3N.02587"	"C3L.00893"	"C3N.01488"	"C3N.01413"	"C3N.01030"	"C3N.02588"	"C3N.00552"	"C3L.01889"	"C3N.00169"	"C3L.00422"	"C3L.00083"	"C3N.00551"	"C3N.01842"	"C3N.02089"	"C3L.01682"	"C3N.01016"	"C3N.00580"	"C3N.02000"	"C3N.01489"	"C3N.00737"	"C3N.01405"	"C3N.01416"	"C3N.02149"	"C3N.02424"	"C3L.00279"	"C3N.02379"	"C3L.00095"	"C3N.00559"	"C3N.02572"	"C3N.00545"	"C3L.02345"	"C3L.00510"	"C3L.00093"	"C3L.00913"	"C3L.00412"	"C3N.01415"	"C3N.00549"	"C3N.02433"	"C3N.01021"	"C3L.01330"	"C3N.00203"	"C3N.00574"	"C3N.01071"	"C3N.00550"	"C3N.00167"	"C3L.00001"	"C3N.01074"	"C3L.01632"	"C3N.02155"	"C3N.00217"	"C3N.02002"	"C3N.02145"	"C3L.02219"	"C3N.02586"	"C3N.00180"	"C3L.01862"	"C3N.00704"	"C3N.02158"	"C3N.02421"	"C3N.00556"	"C3N.00294"	"C3N.01072"	"C3L.00094"	"C3L.00144"	"C3N.00223"	"C3N.02380"	"C3L.01924"	"C3N.00433"	"C3L.01683"	"C3N.00293"	"C3L.00009"	"C3N.00546"	"C3N.01414"	"C3N.02087"	"C3L.00140"	"C3N.02529"	"C3L.00368"	"C3N.02067"	"C3N.02422"	"C3L.00080"	"C3N.00547"	"C3N.01023"	"C3N.01024"	"C3L.00973"	"C3L.02348"	"C3L.02508"	"C3N.00560"	"C3L.00604"	"C3N.00199"	"C3N.00579"	"C3N.02582"	"C3L.02350"	"C3N.00738"	"C3N.00959"	"C3N.02003"	"C3N.00175"	"C3N.01823"	"C3L.02549"	"C3L.02365"
"hsa-let-7a-1"	17324.796056	38603.7458	21013.260855	13827.485794	20957.179979	18645.286951	10132.187601	19000.750405	34999.195801	30564.132756	13425.115233	15146.51332	16996.115487	14165.090571	25215.007696	16535.213252	14506.745762	26378.764756	27685.759957	15945.504125	12716.685042	10617.046882	22568.57542	14717.586	14181.654777	14782.272061	8321.920626	18898.6667	33958.62922	25192.366884	14236.826671	15090.751609	21302.508734	13374.839641	47732.149428	14731.900434	15879.687662	27917.270416	13625.560968	17679.21414	18446.491631	21220.239117	40847.986215	9057.392804	14700.22979	18370.78201	32690.668221	26269.16444	14917.889106	31210.183487	24329.482185	15989.104487	26739.755155	20632.929093	17360.447893	24635.011708	7397.251358	21309.081173	21224.442059	18387.839932	17668.023918	30740.541102	15247.406132	25337.028719	21820.784855	15886.989304	16821.88577	17668.257295	13879.473978	28807.73348	18335.871457	19555.968907	18854.553272	17909.633339	10207.394483	19565.350488	18398.544064	22084.52428	23470.225086	30385.518479	16763.103144	22873.694511	55008.046015	16300.291109	34655.054327	14282.70665	18761.533957	15011.499012	12931.966879	17514.247043	18409.818967	19433.732071	20713.663558	29762.633159	14400.660208	17071.325926	16934.067886	22376.109772	14126.080498	23030.338518	27780.737724	27672.588118	15743.668342	12271.209204	16134.78588	22644.166405	9488.84125
"hsa-let-7a-2"	16661.632232	36829.969695	20494.549908	13223.54622	19953.116192	17774.10573	9821.574677	18134.683977	33487.846623	29703.551021	12933.44737	14738.72193	16200.897738	13466.547373	24289.276638	16127.947754	13742.659154	25743.221751	26622.869177	15315.208235	12282.665575	10393.249502	21827.087555	14188.440966	13464.761152	14124.320768	8029.11442	18103.108215	32370.953048	24472.924489	13824.746708	14317.744414	20819.60943	12762.618765	45395.627628	14046.794959	15132.574763	26844.456087	13046.019464	17100.60082	17918.847323	20314.987401	39001.417639	8672.371675	14088.002342	17447.485301	31154.582108	25533.604575	14528.448027	29720.409262	23463.158298	15373.046475	25881.139581	19536.689737	16454.066463	23324.575044	7088.105557	20525.835008	20266.537099	17727.387475	16807.893632	29335.264955	14576.311	24579.042664	21000.638605	15339.063789	15992.177715	17105.946759	13186.220203	27713.4679	17565.615631	18494.989745	18120.695656	17072.794066	9907.144804	18900.338904	17858.141304	21646.593462	22454.388801	29624.85294	16211.519404	22270.189485	52175.455241	15501.191416	33637.055271	13651.273402	17927.846585	14558.830657	12320.03549	16801.815941	17679.865876	18470.313868	20113.680921	28872.463556	13687.690838	16464.545936	16238.95131	21426.284776	13654.557922	22148.994835	26660.091684	26894.735068	15179.62856	11708.796214	15520.448626	21645.043988	9192.398593
"hsa-let-7a-3"	16695.544018	36852.335712	20540.455448	13225.027145	19978.748102	17845.936901	9884.136291	18217.183116	33492.148276	29678.198368	12991.823792	14646.577569	16240.707926	13507.817977	24146.101707	16134.012052	13846.592548	25721.021338	26857.264722	15283.34031	12303.884846	10462.992453	21826.134791	14242.412813	13602.594399	14160.039729	7912.448174	18127.416571	32467.145588	24604.929898	13837.804612	14314.921932	20875.914418	12766.384409	45478.445978	14147.235118	15063.429522	26979.477643	13193.805882	17139.97598	17955.055759	20314.359336	39312.183247	8781.217945	14110.205035	17473.912118	31248.463768	25527.679719	14505.490321	29783.753993	23351.19881	15386.686728	26070.781945	19608.158345	16540.785362	23517.525515	7260.609578	20420.887291	20319.754041	17807.66459	16889.930124	29409.41366	14638.673996	24585.033199	20899.336451	15457.062568	16010.700281	17045.038122	13194.401154	27586.107988	17593.580629	18526.024097	18157.718613	17112.946627	9876.495912	19032.532249	17836.082211	21651.656246	22509.194273	29601.457789	16189.226044	22128.138066	52129.322273	15592.398043	33812.826788	13662.856207	17998.169255	14681.700268	12325.530148	16790.44736	17650.273183	18481.996722	20121.026868	28944.09353	13829.098452	16554.765035	16175.782144	21487.05582	13609.165375	22109.769262	26678.323586	26905.528683	14906.400657	11824.79324	15636.491555	21829.351356	9219.778366
"hsa-let-7b"	5863.688793	13580.563355	7559.040046	3677.783752	6775.466432	6419.530408	3093.357493	5718.621615	8551.267157	8216.774845	4322.876385	4331.963061	4657.175737	4480.153425	6793.500299	4767.28309	3446.867355	5919.151488	12663.461128	6334.482301	3559.349876	2344.603019	7390.702295	3773.768325	3034.842979	4452.187923	2885.697223	5650.207344	28343.680966	7771.91532	4498.379239	4127.879593	7977.450273	3391.752243	22256.885034	5383.653481	3999.521435	7264.490857	4051.988808	7464.073073	6498.540217	8015.790404	21619.906623	2609.7547	4240.399422	5343.846516	10639.337607	9418.98451	3430.917114	9005.509232	5629.259777	6854.949229	10614.974659	10318.595047	4852.42921	4724.828856	2972.581324	5520.583079	5538.331892	6758.355085	6203.287953	12965.761507	6758.647467	6485.548751	6647.728179	3991.313009	5936.791126	5625.981949	4434.893457	7245.050645	5122.816235	5737.15116	4705.862817	6183.775183	2946.890944	6749.031026	5872.040514	10889.388075	9097.958103	7680.330727	4816.781309	8126.252113	21633.569697	4041.217525	17579.918723	3936.109925	6839.174064	5718.048876	4046.381854	4566.695993	5798.678863	5559.786727	7687.295423	9751.948642	3278.39196	4556.944116	5683.690501	8508.897356	3961.949448	5025.705542	9979.133095	9698.673842	3602.159733	3016.759426	5026.833788	7565.426202	3252.017122
"hsa-let-7c"	1807.013765	3728.126927	2025.365409	618.008358	2787.101944	1516.444278	589.895152	1862.804978	3427.68328	2111.91627	1115.096864	1361.380338	1085.474692	4159.159832	1195.060124	2422.208354	907.765718	2233.523361	4283.113505	569.316183	2012.172301	469.447551	2505.290515	600.318434	445.546976	1992.235099	527.442231	4431.818504	1399.451669	1684.941838	1302.903927	466.591518	1896.61669	467.790197	5872.816759	2547.056824	2250.806718	2514.822479	490.176071	2146.721301	1560.042535	947.960169	5310.386748	2562.547893	1871.324844	1090.61443	2243.234536	3969.433889	313.848634	3191.870603	1433.679031	1165.840442	3409.200881	4519.760005	1371.059583	1309.006739	1714.746421	2666.398921	1866.275205	2509.576713	2396.816505	2447.524552	856.913764	1295.667132	1744.102133	815.020847	1175.256815	659.489203	498.219907	1014.466443	1691.12811	1183.632854	2662.726444	2981.678639	798.29417	1322.944665	1220.182972	2677.002083	1567.761099	1201.1665	1738.79365	1516.448715	5156.522377	748.982346	3479.854397	1374.095498	3251.747951	729.037961	1225.887127	691.430805	379.493716	1349.230545	890.481465	3464.505349	1685.298367	1585.493874	2285.982161	3059.478576	1653.528491	2373.336691	4894.280221	2226.539442	396.616302	486.476253	1081.764941	1952.292862	606.781064
"hsa-let-7d"	2728.014823	7480.266449	5251.203992	3144.92856	3574.718491	2866.398512	2791.425367	2569.691119	4526.913084	7547.142857	1733.555586	3130.047165	4939.17484	3418.123196	2849.281252	3192.906176	4284.059656	4754.303892	4780.032059	2984.904939	4447.754434	2101.587582	3572.266067	3378.921658	4699.289948	2811.363189	2015.588631	6114.226857	6562.228418	3496.593369	3296.91461	2361.006003	4995.912111	2792.528913	8703.577097	2815.574298	3475.050475	5481.985567	2382.855922	3910.464918	3798.722716	3582.69487	9207.474263	1505.957304	3657.618098	2454.019292	6085.960336	5161.317363	2343.365804	9647.167894	3896.963525	2794.005221	5551.605304	3056.299832	4477.398127	5567.233274	2191.913463	6156.629849	4380.183939	2721.271948	2858.312628	2616.114481	2792.129928	4714.184242	5660.884721	3893.441402	2830.453898	2599.560607	2612.995702	4445.339001	3567.103694	3495.630215	3121.566104	2694.246204	3742.886447	3673.283504	2828.876091	3390.304328	5031.99129	2696.517328	3724.583579	3944.844765	6780.482591	3768.986575	7838.829905	3147.286787	2979.256267	4396.243357	2586.393376	2665.142856	2976.578221	3582.046458	2882.282624	3437.411432	2484.002	4756.984237	3561.513405	6268.506765	3592.610093	3065.18485	4352.86664	3917.776686	2078.065029	2882.876475	3032.354097	4247.727084	3448.101588
"hsa-let-7e"	990.26005	1640.814935	2064.450079	642.721288	751.672949	1228.130395	1191.165143	1938.787965	2250.70896	2169.865192	943.7684	1225.562074	2012.571392	2088.190697	1159.416575	1142.215878	1263.935773	1924.8747	2168.04717	1323.466335	1720.834142	530.821347	1554.432962	1513.263266	1589.100806	1576.129267	858.865616	1700.099435	2610.013144	1606.022753	2344.787223	835.2782	1983.700336	1488.279797	5293.088311	1276.778245	916.293995	1839.34679	1431.714272	1316.199972	1885.169316	1150.82532	5223.432461	577.907545	2207.357091	1461.449919	2474.785943	2623.613885	632.596778	4489.069026	3537.708905	1705.833984	3615.10869	1461.910718	2444.571983	2095.733462	2320.08777	4273.779971	1638.327841	1334.454225	1573.94582	1589.297649	2483.548584	1876.504511	1664.865795	2041.396148	1383.326974	1417.657902	714.524247	1788.309684	1338.026502	1796.530384	1685.157047	975.173737	867.582558	1315.95809	1182.997643	999.899845	5274.184038	1153.471414	1867.511267	2023.449871	2884.440507	1084.641255	4023.375767	1700.287748	1358.855682	2418.060023	2340.001342	978.329589	1287.002964	1406.39308	2010.499935	1362.003615	1662.381976	1514.436909	1152.389732	1436.099036	1916.285346	1244.796098	2271.842835	1090.25692	628.965224	1030.061952	1335.079751	1392.378066	1163.743293
"hsa-let-7f-1"	21320.555468	29034.520781	22613.133878	21382.052545	25224.745694	19694.295973	13254.18175	18337.38285	32904.290626	36477.236738	14672.265606	23631.452177	18902.690713	16854.609264	19247.71686	19065.51506	24246.868236	37496.498042	20562.516566	15913.291681	17400.53436	9725.731972	21977.505026	20449.017357	19019.380741	18666.568634	13121.204986	24087.015273	36318.841323	23500.062709	17344.195494	16800.469943	19955.285857	17575.719514	28446.281614	19788.234771	22384.791643	27378.287908	12984.397329	26479.717336	17715.414181	20589.452017	25288.843448	13684.562006	23984.734625	18270.313192	27356.345005	26584.937305	17085.572468	26921.315091	17916.681753	14719.277176	30397.481128	15184.464545	18274.262371	28954.725008	12818.094759	21551.081825	27285.474791	19098.007151	16374.614576	21180.604797	12557.482226	24354.458731	29287.555993	23764.055654	19586.275849	15339.721361	15896.078363	25949.919239	21375.237354	21878.723195	21945.697939	23124.599293	17385.146015	23884.892139	18883.303887	20189.502207	15434.544351	30443.683219	19505.009548	23774.112623	30708.469428	21697.454884	31651.127006	20289.498602	21264.258874	19785.140034	18904.226375	20877.610274	20911.052927	22044.710838	20235.986174	22187.504934	12094.732047	23286.391548	25483.515853	29089.249201	21851.411998	25434.752475	26088.620102	22703.961389	12883.943066	18587.346597	17267.995217	22734.904902	16552.513942
"hsa-let-7f-2"	22750.861319	31123.342136	23700.250683	23665.082972	27499.504057	20954.00469	13884.188176	19898.583074	35332.311638	39319.651486	15864.158163	25441.941605	20538.482709	18432.4711	20922.763432	20452.749861	26857.864477	40023.749948	21954.602866	17093.782998	18732.226574	10339.779907	23528.365126	21904.521278	20270.026583	20069.079668	14282.001543	25436.399144	39968.166593	25073.40702	18418.517373	18167.785957	21151.136557	19002.048389	30668.169217	21235.426148	24532.597773	29076.910596	14101.598628	28345.85187	18987.703698	22032.118431	27368.068984	14997.933575	25412.320542	19772.888869	29856.936728	28178.174894	18530.508061	28660.949088	19271.444284	15849.65296	32025.479501	16427.902119	19387.192452	31090.943214	13661.687571	22900.106735	29644.379318	20551.043307	17564.525024	22955.775737	13432.64294	25915.543238	31547.095522	25051.417147	21291.380956	16525.126001	17135.983274	28054.606145	22847.286978	23626.291017	23299.213684	24973.58261	18926.128509	25532.988307	20286.89246	21524.206161	16624.409858	32529.083016	20860.127387	25594.306556	33556.615122	23727.381075	34089.265051	21876.853994	22990.039539	21193.006491	20109.580833	22384.263104	22538.092682	23742.61894	21372.986185	23517.864508	13056.681267	25285.787533	27939.313101	31591.430881	23725.804223	27220.937285	28010.607518	23860.609222	13758.031893	20511.077245	18509.302905	24023.225059	17648.837116
"hsa-let-7g"	30387.652091	41256.93175	20787.739063	22527.547743	21859.698192	29504.272851	15715.237894	18937.101562	23820.66764	24464.505682	17860.164008	23629.264275	21209.093337	17114.053609	18086.898573	27800.445013	17675.283009	27448.429204	23394.014743	17070.700285	17062.245514	16216.47592	27883.921539	24518.683964	16203.945788	21319.323581	16671.215455	24243.534078	26349.433213	20590.131343	20115.357648	25609.259151	25219.592077	19497.41282	25796.094423	20087.422546	17793.279828	24193.140427	16368.813011	30213.924157	20353.635722	17866.997504	20676.928274	15310.340411	26421.519543	21489.302846	25071.190673	20692.009981	21055.855678	40693.906335	17620.876701	20994.595892	31413.662519	14899.36484	17620.379347	29211.30713	15000.710604	31369.523789	22413.275234	17032.807056	15631.819352	24460.045421	16947.721678	41497.65819	19733.458988	25066.274973	19428.936941	15623.628149	17342.470474	39618.003617	23988.166048	25636.723504	24270.453788	24866.321922	17141.158944	35513.218139	24180.187315	23047.113608	15061.267899	31857.991176	21703.117196	20597.17107	24816.611484	25420.490912	27769.659728	17190.161224	23381.283001	18542.869094	20724.114955	22671.319785	21899.895551	28217.291069	32984.353132	23426.586275	16521.370007	21498.156006	19267.10724	23169.304007	17112.190178	28627.183569	27852.926202	31309.934474	17562.482472	22855.17944	19503.547254	28580.961465	14596.40413
