"hgnc_symbol"	"entrezgene_id"	"ensembl_gene_id"	"id"	"allias"	"mirna"	"chromosome_name"
"MIRLET7A1HG"	NA	"ENSG00000269929"	"MI0000060"	"MI0000060"	"hsa-let-7a-1"	"9"
"MIRLET7A1"	406881	"ENSG00000199165"	"MI0000060"	"MI0000060"	"hsa-let-7a-1"	"9"
"MIR100HG"	399959	"ENSG00000255248"	"MI0000061"	"MI0000061"	"hsa-let-7a-2"	"11"
"MIRLET7A2"	406882	"ENSG00000198975"	"MI0000061"	"MI0000061"	"hsa-let-7a-2"	"11"
"MIRLET7BHG"	400931	"ENSG00000197182"	"MI0000062"	"MI0000062"	"hsa-let-7a-3"	"22"
"MIRLET7A3"	406883	"ENSG00000283990"	"MI0000062"	"MI0000062"	"hsa-let-7a-3"	"22"
"MIRLET7BHG"	400931	"ENSG00000197182"	"MI0000063"	"MI0000063"	"hsa-let-7b"	"22"
"MIRLET7B"	406884	"ENSG00000284520"	"MI0000063"	"MI0000063"	"hsa-let-7b"	"22"
"MIR99AHG"	NA	"ENSG00000215386"	"MI0000064"	"MI0000064"	"hsa-let-7c"	"21"
"MIRLET7C"	406885	"ENSG00000199030"	"MI0000064"	"MI0000064"	"hsa-let-7c"	"21"
"MIRLET7A1HG"	NA	"ENSG00000269929"	"MI0000065"	"MI0000065"	"hsa-let-7d"	"9"
"LINC02603"	158257	"ENSG00000230262"	"MI0000065"	"MI0000065"	"hsa-let-7d"	"9"
"MIRLET7D"	406886	"ENSG00000199133"	"MI0000065"	"MI0000065"	"hsa-let-7d"	"9"
"SPACA6P-AS"	102238594	"ENSG00000269959"	"MI0000066"	"MI0000066"	"hsa-let-7e"	"19"
"SPACA6"	147650	"ENSG00000182310"	"MI0000066"	"MI0000066"	"hsa-let-7e"	"19"
"MIRLET7E"	406887	"ENSG00000198972"	"MI0000066"	"MI0000066"	"hsa-let-7e"	"19"
"MIRLET7A1HG"	NA	"ENSG00000269929"	"MI0000067"	"MI0000067"	"hsa-let-7f-1"	"9"
"MIRLET7F1"	406888	"ENSG00000199072"	"MI0000067"	"MI0000067"	"hsa-let-7f-1"	"9"
"HUWE1"	10075	"ENSG00000086758"	"MI0000068"	"MI0000068"	"hsa-let-7f-2"	"X"
"MIRLET7F2"	406889	"ENSG00000208012"	"MI0000068"	"MI0000068"	"hsa-let-7f-2"	"X"
"WDR82"	80335	"ENSG00000164091"	"MI0000433"	"MI0000433"	"hsa-let-7g"	"3"
"MIRLET7G"	406890	"ENSG00000199150"	"MI0000433"	"MI0000433"	"hsa-let-7g"	"3"
"LINC01465"	NA	"ENSG00000221949"	"MI0000434"	"MI0000434"	"hsa-let-7i"	"12"
""	NA	"ENSG00000257354"	"MI0000434"	"MI0000434"	"hsa-let-7i"	"12"
"MIRLET7I"	406891	"ENSG00000199179"	"MI0000434"	"MI0000434"	"hsa-let-7i"	"12"
"MIR100HG"	399959	"ENSG00000255248"	"MI0000102"	"MI0000102"	"hsa-mir-100"	"11"
"MIR100"	406892	"ENSG00000207994"	"MI0000102"	"MI0000102"	"hsa-mir-100"	"11"
"JAK1"	3716	"ENSG00000162434"	"MI0000103"	"MI0000103"	"hsa-mir-101-1"	"1"
"MIR101-1"	406893	"ENSG00000199135"	"MI0000103"	"MI0000103"	"hsa-mir-101-1"	"1"
"RCL1"	10171	"ENSG00000120158"	"MI0000739"	"MI0000739"	"hsa-mir-101-2"	"9"
"MIR101-2"	406894	"ENSG00000199065"	"MI0000739"	"MI0000739"	"hsa-mir-101-2"	"9"
"PANK3"	79646	"ENSG00000120137"	"MI0000109"	"MI0000109"	"hsa-mir-103a-1"	"5"
"MIR103A1"	406895	"ENSG00000199035"	"MI0000109"	"MI0000109"	"hsa-mir-103a-1"	"5"
"PANK2"	80025	"ENSG00000125779"	"MI0000108"	"MI0000108"	"hsa-mir-103a-2"	"20"
"MIR103A2"	406896	"ENSG00000199024"	"MI0000108"	"MI0000108"	"hsa-mir-103a-2"	"20"
"PANK3"	79646	"ENSG00000120137"	"MI0007261"	"MI0007261"	"hsa-mir-103b-1"	"5"
"MIR103A1"	406895	"ENSG00000199035"	"MI0007261"	"MI0007261"	"hsa-mir-103b-1"	"5"
"MIR103B1"	100302238	"ENSG00000283612"	"MI0007261"	"MI0007261"	"hsa-mir-103b-1"	"5"
"PANK2"	80025	"ENSG00000125779"	"MI0007262"	"MI0007262"	"hsa-mir-103b-2"	"20"
"MIR103A2"	406896	"ENSG00000199024"	"MI0007262"	"MI0007262"	"hsa-mir-103b-2"	"20"
"MIR103B2"	100302282	"ENSG00000283320"	"MI0007262"	"MI0007262"	"hsa-mir-103b-2"	"20"
"GABRA3"	2556	"ENSG00000011677"	"MI0000111"	"MI0000111"	"hsa-mir-105-1"	"X"
"MIR105-1"	406897	"ENSG00000207957"	"MI0000111"	"MI0000111"	"hsa-mir-105-1"	"X"
"GABRA3"	2556	"ENSG00000011677"	"MI0000112"	"MI0000112"	"hsa-mir-105-2"	"X"
"MIR105-2"	406898	"ENSG00000207818"	"MI0000112"	"MI0000112"	"hsa-mir-105-2"	"X"
""	NA	"ENSG00000283638"	"MI0000113"	"MI0000113"	"hsa-mir-106a"	"X"
"MIR106A"	406899	"ENSG00000284157"	"MI0000113"	"MI0000113"	"hsa-mir-106a"	"X"
"MCM7"	4176	"ENSG00000166508"	"MI0000734"	"MI0000734"	"hsa-mir-106b"	"7"
"MIR106B"	406900	"ENSG00000208036"	"MI0000734"	"MI0000734"	"hsa-mir-106b"	"7"
"PANK1"	53354	"ENSG00000152782"	"MI0000114"	"MI0000114"	"hsa-mir-107"	"10"
"MIR107"	406901	"ENSG00000198997"	"MI0000114"	"MI0000114"	"hsa-mir-107"	"10"
"HOXB3"	3213	"ENSG00000120093"	"MI0000266"	"MI0000266"	"hsa-mir-10a"	"17"
"HOXB-AS3"	404266	"ENSG00000233101"	"MI0000266"	"MI0000266"	"hsa-mir-10a"	"17"
""	NA	"ENSG00000257178"	"MI0000266"	"MI0000266"	"hsa-mir-10a"	"17"
"MIR10A"	406902	"ENSG00000284038"	"MI0000266"	"MI0000266"	"hsa-mir-10a"	"17"
"HOXD3"	3232	"ENSG00000128652"	"MI0000267"	"MI0000267"	"hsa-mir-10b"	"2"
"MIR10B"	406903	"ENSG00000207744"	"MI0000267"	"MI0000267"	"hsa-mir-10b"	"2"
"MIR1-1HG"	128826	"ENSG00000174407"	"MI0000651"	"MI0000651"	"hsa-mir-1-1"	"20"
"MIR1-1"	406904	"ENSG00000199017"	"MI0000651"	"MI0000651"	"hsa-mir-1-1"	"20"
"CIT"	11113	"ENSG00000122966"	"MI0006271"	"MI0006271"	"hsa-mir-1178"	"12"
"MIR1178"	100302274	"ENSG00000283768"	"MI0006271"	"MI0006271"	"hsa-mir-1178"	"12"
"MIR1179"	100302235	"ENSG00000221630"	"MI0006272"	"MI0006272"	"hsa-mir-1179"	"15"
"B9D1"	27077	"ENSG00000108641"	"MI0006273"	"MI0006273"	"hsa-mir-1180"	"17"
"MIR1180"	100302256	"ENSG00000221540"	"MI0006273"	"MI0006273"	"hsa-mir-1180"	"17"
"CDC37"	11140	"ENSG00000105401"	"MI0006274"	"MI0006274"	"hsa-mir-1181"	"19"
"MIR1181"	100302213	"ENSG00000284268"	"MI0006274"	"MI0006274"	"hsa-mir-1181"	"19"
"FAM89A"	375061	"ENSG00000182118"	"MI0006275"	"MI0006275"	"hsa-mir-1182"	"1"
"MIR1182"	100302132	"ENSG00000283799"	"MI0006275"	"MI0006275"	"hsa-mir-1182"	"1"
"SP4"	6671	"ENSG00000105866"	"MI0006276"	"MI0006276"	"hsa-mir-1183"	"7"
"MIR1183"	100302122	"ENSG00000221783"	"MI0006276"	"MI0006276"	"hsa-mir-1183"	"7"
"F8"	2157	"ENSG00000185010"	"MI0006277"	"MI0006277"	"hsa-mir-1184-1"	"X"
"F8A1"	8263	"ENSG00000277203"	"MI0006277"	"MI0006277"	"hsa-mir-1184-1"	"X"
"MIR1184-1"	100302111	"ENSG00000221533"	"MI0006277"	"MI0006277"	"hsa-mir-1184-1"	"X"
"F8A2"	474383	"ENSG00000274791"	"MI0015971"	"MI0015971"	"hsa-mir-1184-2"	"X"
"MIR1184-2"	100422985	"ENSG00000221190"	"MI0015971"	"MI0015971"	"hsa-mir-1184-2"	"X"
"F8A3"	474384	"ENSG00000277150"	"MI0015972"	"MI0015972"	"hsa-mir-1184-3"	"X"
"MIR1184-3"	100422977	"ENSG00000221603"	"MI0015972"	"MI0015972"	"hsa-mir-1184-3"	"X"
"MIR1185-1"	100302157	"ENSG00000221525"	"MI0003844"	"MI0003844"	"hsa-mir-1185-1"	"14"
"MIR1185-2"	100302209	"ENSG00000221614"	"MI0003821"	"MI0003821"	"hsa-mir-1185-2"	"14"
"MEG8"	NA	"ENSG00000225746"	"MI0014205"	"MI0014205"	"hsa-mir-1193"	"14"
"MIR1193"	100422837	"ENSG00000221036"	"MI0014205"	"MI0014205"	"hsa-mir-1193"	"14"
"MEG8"	NA	"ENSG00000225746"	"MI0006656"	"MI0006656"	"hsa-mir-1197"	"14"
"MIR1197"	100302250	"ENSG00000221745"	"MI0006656"	"MI0006656"	"hsa-mir-1197"	"14"
"MISP3"	113230	"ENSG00000141854"	"MI0020340"	"MI0020340"	"hsa-mir-1199"	"19"
"MIR1199"	102466515	"ENSG00000284081"	"MI0020340"	"MI0020340"	"hsa-mir-1199"	"19"
"MIB1"	57534	"ENSG00000101752"	"MI0000437"	"MI0000437"	"hsa-mir-1-2"	"18"
"MIR133A1HG"	102723167	"ENSG00000265142"	"MI0000437"	"MI0000437"	"hsa-mir-1-2"	"18"
"MIR1-2"	406905	"ENSG00000284453"	"MI0000437"	"MI0000437"	"hsa-mir-1-2"	"18"
"ELMO1"	9844	"ENSG00000155849"	"MI0006332"	"MI0006332"	"hsa-mir-1200"	"7"
"MIR1200"	100302113	"ENSG00000221325"	"MI0006332"	"MI0006332"	"hsa-mir-1200"	"7"
""	NA	"ENSG00000287092"	"MI0006334"	"MI0006334"	"hsa-mir-1202"	"6"
"MIR1202"	100302259	"ENSG00000221456"	"MI0006334"	"MI0006334"	"hsa-mir-1202"	"6"
"SKAP1"	8631	"ENSG00000141293"	"MI0006335"	"MI0006335"	"hsa-mir-1203"	"17"
"MIR1203"	100302211	"ENSG00000221739"	"MI0006335"	"MI0006335"	"hsa-mir-1203"	"17"
"PVT1"	NA	"ENSG00000249859"	"MI0006337"	"MI0006337"	"hsa-mir-1204"	"8"
"MIR1204"	100302185	"ENSG00000283710"	"MI0006337"	"MI0006337"	"hsa-mir-1204"	"8"
"PVT1"	NA	"ENSG00000249859"	"MI0006338"	"MI0006338"	"hsa-mir-1205"	"8"
"MIR1205"	100302161	"ENSG00000221771"	"MI0006338"	"MI0006338"	"hsa-mir-1205"	"8"
"PVT1"	NA	"ENSG00000249859"	"MI0006339"	"MI0006339"	"hsa-mir-1206"	"8"
"MIR1206"	100302170	"ENSG00000283200"	"MI0006339"	"MI0006339"	"hsa-mir-1206"	"8"
"PVT1"	NA	"ENSG00000249859"	"MI0006340"	"MI0006340"	"hsa-mir-1207"	"8"
"MIR1207"	100302175	"ENSG00000221176"	"MI0006340"	"MI0006340"	"hsa-mir-1207"	"8"
"PVT1"	NA	"ENSG00000249859"	"MI0006341"	"MI0006341"	"hsa-mir-1208"	"8"
"MIR1208"	100302281	"ENSG00000221261"	"MI0006341"	"MI0006341"	"hsa-mir-1208"	"8"
"MIR122HG"	NA	"ENSG00000267391"	"MI0000442"	"MI0000442"	"hsa-mir-122"	"18"
"MIR122"	406906	"ENSG00000284440"	"MI0000442"	"MI0000442"	"hsa-mir-122"	"18"
"VWA5B2"	90113	"ENSG00000145198"	"MI0003764"	"MI0003764"	"hsa-mir-1224"	"3"
"MIR1224"	100187716	"ENSG00000221120"	"MI0003764"	"MI0003764"	"hsa-mir-1224"	"3"
"PKD1"	5310	"ENSG00000008710"	"MI0006311"	"MI0006311"	"hsa-mir-1225"	"16"
"MIR1225"	100188847	"ENSG00000221656"	"MI0006311"	"MI0006311"	"hsa-mir-1225"	"16"
"DHX30"	22907	"ENSG00000132153"	"MI0006313"	"MI0006313"	"hsa-mir-1226"	"3"
"MIR1226"	100302232	"ENSG00000221585"	"MI0006313"	"MI0006313"	"hsa-mir-1226"	"3"
"PLEKHJ1"	55111	"ENSG00000104886"	"MI0006316"	"MI0006316"	"hsa-mir-1227"	"19"
"MIR1227"	100302283	"ENSG00000221411"	"MI0006316"	"MI0006316"	"hsa-mir-1227"	"19"
"LRP1"	4035	"ENSG00000123384"	"MI0006318"	"MI0006318"	"hsa-mir-1228"	"12"
"MIR1228"	100302201	"ENSG00000221365"	"MI0006318"	"MI0006318"	"hsa-mir-1228"	"12"
"MGAT4B"	11282	"ENSG00000161013"	"MI0006319"	"MI0006319"	"hsa-mir-1229"	"5"
"MIR1229"	100302156	"ENSG00000221394"	"MI0006319"	"MI0006319"	"hsa-mir-1229"	"5"
"NAV1"	89796	"ENSG00000134369"	"MI0006321"	"MI0006321"	"hsa-mir-1231"	"1"
"IPO9-AS1"	100873949	"ENSG00000231871"	"MI0006321"	"MI0006321"	"hsa-mir-1231"	"1"
"MIR1231"	100302158	"ENSG00000221028"	"MI0006321"	"MI0006321"	"hsa-mir-1231"	"1"
"GOLGA8A"	23015	"ENSG00000175265"	"MI0006323"	"MI0006323"	"hsa-mir-1233-1"	"15"
"MIR1233-1"	100302160	"ENSG00000221649"	"MI0006323"	"MI0006323"	"hsa-mir-1233-1"	"15"
"GOLGA8B"	440270	"ENSG00000215252"	"MI0015973"	"MI0015973"	"hsa-mir-1233-2"	"15"
"MIR1233-2"	100422845	"ENSG00000221065"	"MI0015973"	"MI0015973"	"hsa-mir-1233-2"	"15"
"CPSF1"	29894	"ENSG00000071894"	"MI0006324"	"MI0006324"	"hsa-mir-1234"	"8"
"MIR1234"	100302196	"ENSG00000284139"	"MI0006324"	"MI0006324"	"hsa-mir-1234"	"8"
"NELFE"	7936	"ENSG00000204356"	"MI0006326"	"MI0006326"	"hsa-mir-1236"	"6"
"MIR1236"	100302242	"ENSG00000284446"	"MI0006326"	"MI0006326"	"hsa-mir-1236"	"6"
"RPS6KA4"	8986	"ENSG00000162302"	"MI0006327"	"MI0006327"	"hsa-mir-1237"	"11"
"MIR1237"	100302280	"ENSG00000221273"	"MI0006327"	"MI0006327"	"hsa-mir-1237"	"11"
"ATG4D"	84971	"ENSG00000130734"	"MI0006328"	"MI0006328"	"hsa-mir-1238"	"19"
"MIR1238"	100302226	"ENSG00000221410"	"MI0006328"	"MI0006328"	"hsa-mir-1238"	"19"
"MIR124-1HG"	157627	"ENSG00000253230"	"MI0000443"	"MI0000443"	"hsa-mir-124-1"	"8"
"MIR124-1"	406907	"ENSG00000284321"	"MI0000443"	"MI0000443"	"hsa-mir-124-1"	"8"
"MIR124-2HG"	100130155	"ENSG00000254377"	"MI0000444"	"MI0000444"	"hsa-mir-124-2"	"8"
